date,qobs
2000-10-01,0.001760566453914
2000-10-02,0.0020667519241599
2000-10-03,0.003521132907828
2000-10-04,0.0046693284212502
2000-10-05,0.0072719049183405
2000-10-06,0.0066595339778486
2000-10-07,0.003521132907828
2000-10-08,0.0022963910268443
2000-10-09,0.0022198446592828
2000-10-10,0.0021432982917214
2000-10-11,0.001607473718791
2000-10-12,0.0026791228646517
2000-10-13,0.0024494837619673
2000-10-14,0.003674225642951
2000-10-15,0.0043631429510043
2000-10-16,0.0130128824854514
2000-10-17,0.010716491458607
2000-10-18,0.0071188121832175
2000-10-19,0.0091855641073775
2000-10-20,0.014543809836681
2000-10-21,0.0153092735122958
2000-10-22,0.018371128214755
2000-10-23,0.0252603012952881
2000-10-24,0.0130128824854514
2000-10-25,0.0620025577247982
2000-10-26,0.0597061666979538
2000-10-27,0.0237293739440585
2000-10-28,0.0191365918903698
2000-10-29,0.0267912286465177
2000-10-30,0.0214329829172141
2000-10-31,0.0153092735122958
2000-11-01,0.0160747371879106
2000-11-02,0.0153092735122958
2000-11-03,0.0160747371879106
2000-11-04,0.0130128824854514
2000-11-05,0.014543809836681
2000-11-06,3.789045194293223
2000-11-07,1.1788140604467807
2000-11-08,0.3597679275389525
2000-11-09,0.3368040172705087
2000-11-10,0.2679122864651774
2000-11-11,0.199020555659846
2000-11-12,0.1607473718791064
2000-11-13,0.1454380983668106
2000-11-14,0.1148195513422188
2000-11-15,0.1071649145860709
2000-11-16,0.0918556410737751
2000-11-17,0.0842010043176271
2000-11-18,0.0842010043176271
2000-11-19,0.0750154402102496
2000-11-20,0.0696571944809461
2000-11-21,0.0665953397784869
2000-11-22,0.0635334850760277
2000-11-23,0.0620025577247982
2000-11-24,0.0612370940491834
2000-11-25,0.058940703022339
2000-11-26,0.0558788483198798
2000-11-27,0.0528169936174207
2000-11-28,0.0512860662661911
2000-11-29,0.0489896752393467
2000-11-30,0.0459278205368875
2000-12-01,0.0451623568612727
2000-12-02,0.0443968931856579
2000-12-03,0.0443968931856579
2000-12-04,0.0451623568612727
2000-12-05,0.0451623568612727
2000-12-06,0.0451623568612727
2000-12-07,0.0451623568612727
2000-12-08,0.0443968931856579
2000-12-09,0.0443968931856579
2000-12-10,0.0428659658344283
2000-12-11,0.040569574807584
2000-12-12,0.0390386474563544
2000-12-13,0.0443968931856579
2000-12-14,0.0451623568612727
2000-12-15,0.0451623568612727
2000-12-16,0.0459278205368875
2000-12-17,0.0436314295100431
2000-12-18,0.0428659658344283
2000-12-19,0.0421005021588135
2000-12-20,0.040569574807584
2000-12-21,0.0413350384831988
2000-12-22,0.0398041111319692
2000-12-23,0.0390386474563544
2000-12-24,0.0390386474563544
2000-12-25,0.03674225642951
2000-12-26,0.03674225642951
2000-12-27,0.0375077201051248
2000-12-28,0.0382731837807396
2000-12-29,0.0390386474563544
2000-12-30,0.0382731837807396
2000-12-31,0.03674225642951
2001-01-01,0.03674225642951
2001-01-02,0.0359767927538952
2001-01-03,0.0359767927538952
2001-01-04,0.03674225642951
2001-01-05,0.0375077201051248
2001-01-06,0.0413350384831988
2001-01-07,0.0459278205368875
2001-01-08,0.0497551389149615
2001-01-09,0.0497551389149615
2001-01-10,0.0466932842125023
2001-01-11,0.0489896752393467
2001-01-12,0.0505206025905763
2001-01-13,0.0520515299418058
2001-01-14,0.0505206025905763
