date,precip,tavg,pet
2000-10-01,0.0,22.325,4.194575338553776
2000-10-02,0.0,23.885,4.789257197700142
2000-10-03,0.0,23.61,5.0492920954262726
2000-10-04,0.0,23.235,5.189559125427135
2000-10-05,10.55,15.915,1.74042087469668
2000-10-06,4.73,9.6,1.803034376168125
2000-10-07,0.0,4.705,1.5616164032175397
2000-10-08,0.0,3.64,2.943621514232308
2000-10-09,0.0,2.81,2.928413162786171
2000-10-10,0.0,5.02,3.551382497806568
2000-10-11,0.0,8.64,4.0175141388392825
2000-10-12,0.0,14.235,4.020312344576332
2000-10-13,0.0,19.87,3.624869891736604
2000-10-14,2.94,18.33,1.7879719193287245
2000-10-15,14.24,18.985,1.818152806400172
2000-10-16,23.91,17.89,1.5757351115928528
2000-10-17,2.22,14.475,2.906459948063844
2000-10-18,0.0,16.075,4.255378288629266
2000-10-19,0.0,18.47,4.359278094382541
2000-10-20,0.0,18.3,3.990299123112214
2000-10-21,0.0,18.615,3.542863658037112
2000-10-22,9.27,16.405,1.2948529360214254
2000-10-23,17.32,17.865000000000002,1.355973826950672
2000-10-24,0.0,20.05,2.5358160810857204
2000-10-25,11.9,19.68,1.5948226020968304
2000-10-26,35.39,16.615000000000002,1.0572168514954248
2000-10-27,0.0,18.12,1.593005735788466
2000-10-28,10.33,18.89,1.4591657762250212
2000-10-29,9.84,19.765,1.4352538428240198
2000-10-30,0.0,18.045,3.20746392061134
2000-10-31,0.0,19.255,3.575453523804701
2000-11-01,2.28,19.985,2.2636137463227426
2000-11-02,12.44,13.245,2.644230649084284
2000-11-03,0.0,12.935,3.351246117821833
2000-11-04,0.0,10.56,1.3213996462503368
2000-11-05,0.0,13.06,2.0089866855739587
2000-11-06,28.2,11.445,1.0757312863966992
2000-11-07,9.52,4.98,1.51449728788434
2000-11-08,6.29,2.0,0.7398256336812956
2000-11-09,9.74,-1.73,0.5361124547203129
2000-11-10,0.0,0.1099999999999998,2.137792330909144
2000-11-11,0.0,1.2000000000000002,2.1533413640622427
2000-11-12,0.0,0.9449999999999998,1.8939711325001456
2000-11-13,0.0,-1.3449999999999998,1.9081198496491685
2000-11-14,0.0,-0.73,2.047145654861247
2000-11-15,0.0,1.95,2.4160094908519576
2000-11-16,0.0,3.5899999999999994,2.636032557764158
2000-11-17,0.0,-2.82,1.944456329736187
2000-11-18,0.0,-1.71,1.9633436268132607
2000-11-19,0.0,1.13,2.1721547156086003
2000-11-20,0.0,2.9350000000000005,2.4255535368248418
2000-11-21,0.0,-1.2950000000000004,1.8749700406015544
2000-11-22,0.0,3.955,2.553537347946149
2000-11-23,0.0,3.1850000000000005,1.8454600127832463
2000-11-24,0.0,5.825,0.9701307499955716
2000-11-25,0.0,5.03,1.7682399797826958
2000-11-26,0.0,3.24,2.1249717980074
2000-11-27,0.0,3.94,2.251753155401296
2000-11-28,0.0,5.03,2.248056421365064
2000-11-29,0.0,6.1850000000000005,2.3334598554769217
2000-11-30,0.0,3.495,2.020310477599034
2000-12-01,0.0,3.305,1.938135561734007
2000-12-02,0.0,0.1400000000000001,0.4179846971349369
2000-12-03,0.0,-2.3150000000000004,1.4470724160331256
2000-12-04,0.0,-0.9699999999999998,1.6058714552559856
2000-12-05,0.0,2.91,1.9989183631750664
2000-12-06,1.0,-1.02,0.9285873326031858
2000-12-07,0.0,0.1349999999999998,0.8894053333398596
2000-12-08,0.0,7.195,2.116292527006972
2000-12-09,0.0,1.87,0.7562867002640229
2000-12-10,0.0,2.75,1.4044774325377802
2000-12-11,1.94,-5.890000000000001,1.4701790549305176
2000-12-12,0.0,-13.64,0.4456229248990471
2000-12-13,7.56,-10.63,0.5042697559775531
2000-12-14,3.07,-7.71,0.378888749736009
2000-12-15,0.0,-6.625,0.7097450129938775
2000-12-16,0.0,-2.635,0.7155018703042685
2000-12-17,0.0,-9.2,1.2809162415680015
2000-12-18,0.0,-9.33,1.132797280041963
2000-12-19,0.0,-9.09,1.2568848097091518
2000-12-20,0.0,-9.64,0.9823167879463628
2000-12-21,0.0,-7.575,1.2861386588066934
2000-12-22,0.0,-12.545,1.0896070931665789
2000-12-23,0.0,-10.495,1.2070984723832818
2000-12-24,0.0,-7.45,1.5519377385496442
2000-12-25,0.0,-11.64,0.5960787117679346
2000-12-26,3.36,-8.585,0.2639374360417363
2000-12-27,0.0,-7.5,0.2901660051191101
2000-12-28,0.0,-6.275,1.0033230229794523
2000-12-29,0.0,-4.445,1.6318648259259043
2000-12-30,0.0,-7.59,1.1420264441084569
2000-12-31,0.0,-6.0200000000000005,1.3749908147770855
2001-01-01,0.41,-8.36,0.2793148739401769
2001-01-02,0.0,-12.895,1.019870012113705
